cell_id,count,mean,std,min,25%,50%,75%,max
1,19.0,2.210526315789474,1.0841764600337105,1.0,1.5,2.0,3.0,5.0
2,21.0,2.0476190476190474,0.9206622874969124,1.0,1.0,2.0,2.0,4.0
3,19.0,2.3684210526315788,1.2565617248750864,1.0,1.0,2.0,3.0,5.0
4,22.0,2.3636363636363638,1.1358007263790995,1.0,2.0,2.0,3.0,5.0
5,19.0,2.3684210526315788,1.300022491933183,1.0,1.0,2.0,3.0,5.0
6,20.0,1.85,0.9333020044867297,1.0,1.0,2.0,2.25,4.0
7,20.0,2.3,1.2182817926554552,1.0,1.0,2.5,3.0,4.0
8,20.0,1.9,1.020835571068081,1.0,1.0,2.0,2.25,4.0
9,19.0,2.473684210526316,1.1239029738980326,1.0,2.0,2.0,3.0,5.0
10,21.0,2.0,0.9486832980505138,1.0,1.0,2.0,3.0,4.0
11,19.0,2.6315789473684212,1.460993813805044,1.0,1.5,2.0,3.5,6.0
12,20.0,2.15,1.3088765773505318,1.0,1.0,2.0,3.0,5.0
13,17.0,2.176470588235294,0.9510056596602791,1.0,1.0,2.0,3.0,4.0
14,19.0,1.7894736842105263,1.2727462594467414,1.0,1.0,1.0,2.0,6.0
15,18.0,1.5555555555555556,0.6156987634551992,1.0,1.0,1.5,2.0,3.0
16,21.0,1.9523809523809523,0.8646496675642958,1.0,1.0,2.0,3.0,3.0
17,20.0,2.15,1.1821033884786183,1.0,1.0,2.0,3.0,4.0
18,17.0,1.8235294117647058,0.9510056596602791,1.0,1.0,2.0,2.0,4.0
19,17.0,1.7058823529411764,0.7717436331412898,1.0,1.0,2.0,2.0,3.0
20,19.0,1.8421052631578947,0.9581903020646578,1.0,1.0,2.0,2.5,4.0
21,19.0,1.7894736842105263,1.0316624861746775,1.0,1.0,1.0,2.0,4.0
22,18.0,2.1666666666666665,1.200490095997562,1.0,1.0,2.0,2.75,5.0
23,16.0,1.9375,0.8539125638299665,1.0,1.0,2.0,2.0,4.0
24,17.0,1.588235294117647,0.6183469424008422,1.0,1.0,2.0,2.0,3.0
25,19.0,1.263157894736842,0.4524139283588641,1.0,1.0,1.0,1.5,2.0
26,22.0,1.9090909090909092,0.9714540358261649,1.0,1.0,2.0,2.0,4.0
27,18.0,1.6111111111111112,0.6076849889141855,1.0,1.0,2.0,2.0,3.0
28,18.0,1.8888888888888888,0.9002541398626663,1.0,1.0,2.0,2.0,4.0
29,21.0,1.8095238095238095,0.8728715609439697,1.0,1.0,2.0,2.0,4.0
30,16.0,1.6875,0.9464847243000456,1.0,1.0,1.0,2.0,4.0
31,18.0,1.8333333333333333,0.7859052479933759,1.0,1.0,2.0,2.0,4.0
32,20.0,1.65,0.6708203932499369,1.0,1.0,2.0,2.0,3.0
33,15.0,1.7333333333333334,0.8837151016885371,1.0,1.0,2.0,2.0,4.0
34,21.0,1.7619047619047619,0.9436504599035547,1.0,1.0,1.0,2.0,4.0
35,20.0,1.9,1.020835571068081,1.0,1.0,2.0,2.0,5.0
36,17.0,1.8823529411764706,1.1114378604524227,1.0,1.0,1.0,3.0,4.0
37,20.0,1.85,0.9333020044867296,1.0,1.0,2.0,2.25,4.0
38,16.0,1.8125,0.75,1.0,1.0,2.0,2.0,3.0
39,20.0,2.05,0.9445132413883325,1.0,1.0,2.0,3.0,4.0
40,20.0,3.0,1.5217718205053643,1.0,1.0,3.5,4.0,5.0
41,20.0,2.15,1.1821033884786183,1.0,1.0,2.0,3.0,5.0
42,18.0,1.7222222222222223,0.751903901522118,1.0,1.0,2.0,2.0,3.0
43,19.0,1.9473684210526316,0.9703197760719182,1.0,1.0,2.0,2.0,5.0
44,17.0,1.7647058823529411,0.7524469885568255,1.0,1.0,2.0,2.0,3.0
45,19.0,2.1578947368421053,0.9581903020646579,1.0,1.0,2.0,3.0,4.0
46,18.0,1.6666666666666667,0.8401680504168059,1.0,1.0,1.5,2.0,4.0
47,21.0,2.2857142857142856,1.2705454396776663,1.0,1.0,2.0,3.0,5.0
